Provincia,Partido,Localidad,Población,Adsl,Cablemódem,Dial Up,Fibra Óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
Buenos Aires,Ituzaingó,Ituzaingó Centro,111138,1,1,1,1,1,1,1,1,1,6410010,-34,-58
Buenos Aires,Ituzaingó,Ituzaingó Sur,23264,0,0,0,0,0,1,0,1,1,6410010,-34,-58
Buenos Aires,Ituzaingó,Villa Gobernador Udaondo,33422,1,1,1,1,0,1,1,1,1,6410010,-34,-58
Buenos Aires,José C. Paz,Del Viso,6873,0,1,0,0,0,0,0,1,1,6412010,-34,-58
Buenos Aires,José C. Paz,José C Paz,250301,1,1,1,1,1,1,1,1,1,6412010,-34,-58
Buenos Aires,Quilmes,Quilmes Oeste,133980,1,1,1,1,0,1,1,1,1,6658010,-34,-58
Buenos Aires,Quilmes,San Francisco Solano,59962,0,1,0,1,0,1,1,1,1,6658010,-34,-58
Buenos Aires,Quilmes,Villa La Florida,35135,1,1,1,1,0,1,1,1,1,6658010,-34,-58
Buenos Aires,Ramallo,El Paraíso,423,1,0,0,1,0,1,1,0,0,6665010,-33,-59
Buenos Aires,Ramallo,Las Bahamas,31,0,0,0,0,0,0,0,1,1,6665020,-33,-59
Buenos Aires,Ramallo,Pérez Millán,4570,0,0,0,1,0,0,1,1,1,6665030,-33,-60
Buenos Aires,Ramallo,Ramallo,13319,1,1,0,1,1,1,1,1,1,6665040,-33,-60
Buenos Aires,Ramallo,Villa General Savio (Est. Sánchez),1511,0,0,0,0,0,0,0,1,1,6665050,-33,-60
Buenos Aires,Ramallo,Villa Ramallo,11280,1,1,0,1,0,1,1,1,1,6665060,-33,-60
Buenos Aires,Villarino,Colonia San Adolfo,109,0,0,0,0,0,0,0,0,0,6875020,-39,-62
Buenos Aires,Villarino,Country Los Medanos,61,0,0,0,0,0,1,0,0,0,6875025,-38,-62
Buenos Aires,Villarino,Hilario Ascasubi,3427,0,0,0,0,0,0,1,1,1,6875030,-39,-62
Buenos Aires,Villarino,Juan Cousté (Est. Algarrobo),1993,0,0,1,0,0,1,1,1,1,6875040,-38,-63
Buenos Aires,Villarino,Mayor Buratovich,5372,1,0,0,1,0,0,1,1,1,6875050,-39,-62
Buenos Aires,Villarino,Médanos,5245,1,1,1,0,0,1,1,1,1,6875060,-38,-62
Buenos Aires,Villarino,Pedro Luro,9494,1,1,0,1,0,1,1,1,1,6875070,-39,-62
Buenos Aires,Villarino,Teniente Origone,145,0,0,0,0,0,1,1,0,1,6875080,-39,-62
Buenos Aires,Zárate,Barrio Saavedra,0,0,0,0,0,0,0,0,1,1,6882050,-34,-59
Buenos Aires,Zárate,Country Club El Casco,452,0,0,0,0,0,0,0,1,1,6882020,-34,-59
Buenos Aires,Zárate,Escalada,213,0,0,0,0,0,0,0,0,0,6882030,-34,-59
Buenos Aires,Zárate,Lima,10219,1,0,0,1,1,0,0,1,1,6882040,-34,-59
Mendoza,Tupungato,La Arboleda,540,0,0,0,0,0,1,0,0,1,50126040,-33,-69
Mendoza,Tupungato,San José,1445,0,0,0,1,0,1,0,1,1,50126050,-33,-69
Caba,Comuna 14,Palermo,225970,1,1,1,1,1,1,1,1,1,2000010,-34,-58
Chubut,Escalante,Rada Tilly,9098,1,0,1,1,0,1,1,1,1,26021050,-45,-67
Chubut,Florentino Ameghino,Camarones,1296,0,0,0,0,1,1,1,0,1,26028010,-44,-65
Chubut,Florentino Ameghino,Garayalde,18,0,0,0,0,0,1,0,0,0,26028020,-44,-66
Chubut,Futaleufú,Aldea Escolar,359,0,0,0,0,0,0,1,0,0,26035010,-43,-71
Chubut,Futaleufú,Corcovado,1820,0,0,1,0,1,0,1,0,0,26035020,-43,-71
Chubut,Futaleufú,Esquel,32343,1,1,1,0,1,1,1,1,1,26035030,-42,-71
Chubut,Futaleufú,Lago Rosario,87,0,0,0,0,1,0,1,0,0,26035040,-43,-71
Chubut,Futaleufú,Los Cipreses,179,0,0,0,0,1,0,1,0,0,26035050,-43,-71
Chubut,Futaleufú,Trevelín,6353,1,0,1,0,1,1,1,1,1,26035060,-43,-71
Chubut,Futaleufú,Villa Futalaufquen,28,0,0,0,0,1,0,1,0,0,26035070,-42,-71
Chubut,Gaiman,28 De Julio,237,0,0,0,1,1,0,0,1,1,26042040,-43,-65
Chubut,Gaiman,Dique Florentino Ameghino,156,0,0,0,0,0,0,1,0,0,26042010,-43,-66
Chubut,Gaiman,Dolavon,2887,0,0,1,1,1,0,1,0,1,26042020,-43,-65
Chubut,Gaiman,Gaiman,4730,1,0,1,1,1,0,1,1,1,26042030,-43,-65
Chubut,Gastre,Blancuntre,82,0,0,0,0,1,0,1,0,0,26049010,-42,-68
Chubut,Gastre,El Escorial,89,0,0,0,0,1,0,1,0,0,26049020,-43,-68
Chubut,Gastre,Gastre,602,0,0,0,0,0,1,1,0,1,26049030,-42,-69
Chubut,Gastre,Lagunita Salada,129,0,0,0,0,1,1,1,0,0,26049040,-42,-69
Chubut,Gastre,Yala Laubat,37,0,0,0,0,1,0,0,0,0,26049050,-42,-68
Chubut,Languiñeo,Aldea Epulef,247,0,0,0,0,1,1,1,0,0,26056010,-43,-69
Chubut,Languiñeo,Carrenleufú,317,0,0,0,0,1,0,1,0,0,26056020,-43,-71
Chubut,Languiñeo,Colan Conhue,262,0,0,0,0,1,1,1,0,0,26056030,-43,-69
Chubut,Languiñeo,Paso Del Sapo,472,0,0,0,0,1,1,1,0,0,26056040,-42,-69
Cordoba,Santa María,Despeñaderos,5758,1,0,0,1,0,1,1,1,1,14147080,-31,-64
Cordoba,Santa María,Dique Chico,167,0,0,0,0,0,0,0,0,0,14147090,-31,-64
Cordoba,Santa María,El Potrerillo,85,0,0,0,0,0,0,0,1,1,14147095,-31,-64
Cordoba,Santa María,Falda Del Cañete,29,0,0,0,0,0,0,0,1,1,14147100,-31,-64
Cordoba,Santa María,Falda Del Carmen,170,0,0,0,0,0,0,1,0,1,14147110,-31,-64
Cordoba,Santa María,José De La Quintana,419,0,0,0,0,0,0,0,0,1,14147115,-31,-64
Cordoba,Santa María,La Boca Del Río,80,0,0,0,0,0,0,0,0,0,14147120,-31,-64
Cordoba,Santa María,La Carbonada,207,0,0,0,0,0,0,0,0,1,14147130,-31,-64
Cordoba,Santa María,La Cumbrecita,0,0,0,0,0,0,1,1,0,0,14147280,-31,-64
Cordoba,Santa María,La Donosa,0,0,0,0,0,0,1,0,0,0,14147280,-31,-64
Cordoba,Santa María,La Paisanita,60,1,0,0,0,0,1,1,0,1,14147150,-31,-64
Cordoba,Santa María,La Perla,895,0,0,0,0,0,0,0,1,1,14147160,-31,-64
